,"index of flare start in ""gj1243_master_slc.dat""","index of flare stop in ""gj1243_master_slc.dat""",t_start,t_stop,t_peak,t_rise,t_decay,flux peak,ED,Duration of rise,Duration of decay,Complex flag,# of people that identified flare event exists,# of people that analyzed this month,# of flare template components fit to event,Flare_Duration,Index,Flare_Number,Type,Notes,na,key
0,275.0,310.0,539.6466675,539.6711426,539.6500244,0.0033569,0.0211182,0.0057328,2.60132,0.2913592,2.3099608,1.0,8.0,8.0,2.0,35.2441440000257,0,0.0,1.0,,,
1,594.0,614.0,539.8659668,539.880249,539.8700562,0.0040894,0.0101929,0.0047952,0.978497,0.1878194,0.7906776,1.0,8.0,8.0,1.0,20.566368000036164,1,1.0,1.0,Peak marked higher than interp_data,,
2,2438.0,2459.0,541.1424561,541.1567383,541.1444702,0.0020142,0.0122681,0.0065914,2.3783009,0.5676513,1.8106496,1.0,8.0,8.0,1.0,20.566368000036164,5,5.0,1.0,,,
3,2475.0,2517.0,541.1676636,541.1968994,541.1730957,0.0054321,0.0238037,0.0105782,4.9310956,1.4132259,3.5178695,1.0,8.0,8.0,1.0,42.099552000054246,6,6.0,1.0,,,
4,2565.0,2587.0,541.2296143,541.2453003,541.2323608,0.0027466,0.0129395,0.0055097,1.9378382,0.6508439,1.2869942,1.0,8.0,8.0,1.0,22.587840000105643,7,7.0,1.0,,,
5,2702.0,2725.0,541.3236084,541.3392944,541.3256836,0.0020752,0.0136108,0.0150692,3.6370852,0.9499289,2.6871564,1.0,8.0,8.0,1.0,22.587839999941934,8,8.0,1.0,,,
6,2825.0,2852.0,541.4080811,541.4264526,541.4100952,0.0020142,0.0163574,0.0105957,3.7333329,0.9047078,2.8286252,1.0,8.0,8.0,1.0,26.454959999919083,9,9.0,1.0,,,
7,3022.0,3072.0,541.5429688,541.5783691,541.5463257,0.0033569,0.0320435,0.0159922,11.1584044,1.3592737,9.7991304,1.0,8.0,8.0,2.0,50.97643199998856,10,10.0,1.0,,,
8,3379.0,3406.0,541.7902222,541.8085938,541.7915649,0.0013428,0.0170288,0.0113243,4.1004338,0.3482727,3.7521613,1.0,8.0,8.0,2.0,26.455104000033316,11,11.0,1.0,,,
9,3458.0,3480.0,541.8439941,541.8596802,541.8467407,0.0027466,0.0129395,0.0130988,3.8262684,0.8132266,3.013042,1.0,8.0,8.0,1.0,22.587983999892458,12,12.0,1.0,,,
10,3552.0,3604.0,541.9094238,541.9454956,541.911438,0.0020142,0.0340576,0.1000876,39.243309,2.838378,36.4049301,1.0,8.0,8.0,2.0,51.943391999921005,13,13.0,1.0,,,
11,4666.0,4686.0,542.6729736,542.6872559,542.6756592,0.0026855,0.0115967,0.0038321,1.9401146,0.4156623,1.5244523,1.0,8.0,8.0,1.0,20.566511999986687,16,16.0,1.0,,,
12,5484.0,5512.0,543.2362671,543.2553101,543.2410278,0.0047607,0.0142822,0.0108677,4.2461991,1.0809542,3.1652451,1.0,8.0,8.0,2.0,27.421920000015234,17,17.0,1.0,,,
13,5553.0,5580.0,543.2832642,543.3016357,543.2873535,0.0040894,0.0142822,0.0138366,4.3572159,0.5426043,3.8146114,1.0,8.0,8.0,2.0,26.454960000082792,18,18.0,1.0,,,
14,6392.0,6420.0,543.8560791,543.8751831,543.8594971,0.003418,0.015686,0.0047978,3.7713583,0.5111338,3.2602243,1.0,8.0,8.0,2.0,27.50975999995717,21,21.0,1.0,,,
15,7642.0,7696.0,544.720459,544.758606,544.7252197,0.0047607,0.0333862,0.0034462,2.1350672,0.0123553,2.1227119,1.0,8.0,8.0,1.0,54.9316799999724,24,24.0,1.0,,,
16,7897.0,7919.0,544.897583,544.913208,544.9016724,0.0040894,0.0115356,0.0049792,1.299311,0.1846548,1.1146563,1.0,8.0,8.0,1.0,22.5,25,25.0,1.0,,,
17,8243.0,8282.0,545.1359863,545.1638794,545.1414185,0.0054321,0.0224609,0.0081271,4.9183044,0.7844543,4.1338501,1.0,8.0,8.0,1.0,40.16606400004093,28,28.0,1.0,,,
