Flare #,Type,Notes,,Key:                                     1 = classical                        2 =adjust start/stop times                                   3 = complex                                   4=noise
0,1,,,
1,1,Peak marked higher than interp_data,,
2,3,,,
3,3,,,
4,3,adjust start_stop times,,
5,1,,,
6,1,,,
7,1,,,
8,1,,,
9,1,,,
10,1,,,
11,1,,,
12,1,,,
13,1,,,
14,3,nosiy/adjust start_stop,,
15,3,nosiy/adjust start_stop,,
16,1,,,
17,1,,,
18,1,,,
19,3,nosiy/adjust start_stop,,
20,3,complex,,
21,1,,,
22,3,nosiy/adjust start_stop,,
23,,,,
24,1,,,
25,1,,,
26,3,nosiy/adjust start_stop,,
27,3,complex,,
28,1,,,
29,1,,,
30,1,,,
31,1,,,
32,3,complex,,
33,3,nosiy/adjust start_stop,,
34,1,,,
35,3,,,
36,1,,,
37,1,,,
38,1,,,
39,3,,,
40,1,,,
41,1,,,
42,3,,,
43,3,,,
44,1,,,
45,1,,,
46,3,,,
47,3,,,
48,3,,,
49,1,,,
50,3,two flares,,
51,3,,,
52,1,,,
53,3,,,
54,1,,,
55,1,,,
56,3,,,
57,2,adjust start_stop times,,
58,4,noise,,
59,1,,,
60,3,,,
61,1,,,
62,1,,,
63,1,,,
64,3,,,
65,3,,,
66,4,,,
67,1,,,
68,1,,,
69,3,,,
70,3,,,
71,2,adjust start_stop times,,
72,3,adjust start_stop times,,
73,1,,,
74,1,,,
75,1,,,
76,3,,,
77,1,,,
78,3,,,
79,1,,,
80,2,,,
81,3,,,
82,3,,,
83,1,,,
84,2,adjust start_stop times,,
85,1,,,
86,1,,,
87,1,,,
88,1,,,
89,1,,,
90,3,,,
91,1,,,
92,1,,,
93,1,,,
94,1,,,
95,1,,,
96,3,,,
97,3,,,
98,3,,,
99,1,,,
100,,,,
101,3,,,
102,1,,,
103,1,,,
104,3,,,
105,1,,,
106,3,adjust start_stop times,,
107,3,,,
108,2,,,
109,3,,,
110,3,,,
111,3,,,
112,3,adjust start_stop times,,
113,3,,,
114,1,,,
115,1,,,
116,1,,,
117,1,,,
118,1,,,
119,1,,,
120,3,adjust start_stop times,,
121,3,,,
122,4,,,
123,4,,,
124,1,,,
125,3,,,
126,3,,,
127,3,,,
128,1,,,
129,3,,,
130,1,,,
131,3,,,
132,1,,,
133,1,,,
134,1,,,
135,3,,,
136,1,,,
137,3,,,
138,3,adjust start_stop times,,
139,3,adjust start_stop times,,
140,4,noisy,,
141,4,noisy,,
142,3,"adjust start_stop times, 2 flares",,
143,3,complex,,
144,1,,,
145,1,,,
146,1,,,
147,1,,,
148,1,,,
149,4,noisy,,
150,1,,,
151,3,,,
152,1,,,
153,1,,,
154,3,,,
155,3,adjust start_stop times,,
156,3,adjust start_stop times,,
157,1,,,
158,1,,,
159,4,,,
160,3,,,
161,1,,,
162,1,,,
163,3,,,
164,4,adjust start_stop times,,
