Flare #,Type,Notes,,Key:                                     1 = classical                        2 =adjust start/stop times                                   3 = Throw out (complex/noise)
0,,,,
1,,Peak marked higher than interp_data,,
2,3,,,
3,3,,,
4,2,adjust start_stop times,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,2,nosiy/adjust start_stop,,
15,2,nosiy/adjust start_stop,,
16,,,,
17,,,,
18,,,,
19,3,nosiy/adjust start_stop,,
20,3,complex,,
21,,,,
22,2,nosiy/adjust start_stop,,
23,,ask Jim,,
24,,,,
25,,,,
26,3,nosiy/adjust start_stop,,
27,3,complex,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,2,nosiy/adjust start_stop,,
34,,,,
35,3,ask Jim,,
36,,,,
37,,,,
38,,,,
39,3,nosiy,,
40,,,,
41,,,,
42,3,complex,,
43,3,complex,,
44,,,,
45,,,,
46,2,maybe adjust start_stop?,,
47,,,,
48,3,complex,,
49,,,,
50,3,two flares,,
51,3,complex ,,
52,,,,
53,,,,
54,,,,
55,,,,
56,3,complex?,,
57,2,adjust start_stop times,,
58,3,noise,,
59,,,,
60,3,complex,,
61,,,,
62,,,,
63,,,,
64,2,adjust start_stop times,,
65,3,complex,,
66,,,,
67,,,,
68,,,,
69,3,complex,,
70,,,,
71,2,adjust start_stop times,,
72,2,adjust start_stop times,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,3,complex,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,2,adjust start_stop times,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,3,noisy,,
97,3,complex,,
98,3,noise,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,3,complex,,
105,,,,
106,2,adjust start_stop times,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,2,adjust start_stop times,,
113,3,noisy,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,2,adjust start_stop times,,
121,3,noisy,,
122,3,noisy,,
123,3,noisy,,
124,,,,
125,,,,
126,3,complex,,
127,,,,
128,,,,
129,3,noisy,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,2,adjust start_stop times,,
139,2,adjust start_stop times,,
140,3,noisy,,
141,3,noisy,,
142,2,"adjust start_stop times, 2 flares",,
143,3,complex,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,3,noisy,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,2,adjust start_stop times,,
156,2,adjust start_stop times,,
157,,,,
158,,,,
159,3,noisy,,
160,,,,
161,,,,
162,2,adjust start_stop,,
163,3,noisy,,
164,2,adjust start_stop times,,
165,3,noisy,,
166,2,adjust start_stop times,,
167,,,,
168,2,adjust start_stop times,,
169,2,adjust start_stop times,,
170,,,,
171,,,,
172,2,adjust start_stop times,,
173,,ask jim if he'd adjust start_stop,,
174,3,noisy,,
175,3,noisy ,,
176,2,"adjust start_stop times, 2 flares",,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,3,noisy,,
183,3,noisy,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,3,noisy ,,
191,,,,
192,,,,
193,,,,
194,3,noisy,,
195,2,adjust start_stop times,,
196,,,,
197,,,,
198,,,,
199,,,,
200,3,noisy ,,
201,,,,
202,3,noisy ,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,3,noisy ,,
210,,,,
211,,,,
212,3,noisy ,,
213,2,adjust start_stop times,,
214,,,,
215,3,complex/noisy,,
216,2,adjust start_stop times,,
217,,,,
218,2,adjust start_stop times,,
219,3,noisy,,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
228,3,noisy ,,
229,,,,
230,,,,
231,,,,
232,3,noisy ,,
233,,,,
234,3,noisy ,,
235,2,adjust start_stop times,,
236,2,adjust start_stop times,,
237,,,,
238,2,adjust start_stop times,,
239,,,,
240,3,noisy,,
241,3,noisy,,
242,,,,
243,3,noisy ,,
244,,,,
245,3,noisy,,
246,3,noisy,,
247,3,noisy,,
248,3,noisy,,
249,3,noisy,,
250,3,noisy,,
251,2,adjust start_stop times,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,2,adjust start_stop times,,
258,,,,
259,,,,
260,,,,
261,,,,
262,3,noisy ,,
263,,,,
264,,,,
265,3,noisy ,,
266,,,,
267,,,,
268,,,,
269,,,,
270,2,adjust start_stop times,,
271,,,,
272,3,noisy ,,
273,,,,
274,,,,
275,,,,
276,,,,
277,2,adjust start_stop times,,
278,,,,
279,2,adjust start_stop times,,
280,,,,
281,,,,
282,3,complex,,
283,,,,
284,2,adjust start_stop times,,
285,2,adjust start_stop times,,
286,3,noisy,,
287,,,,
288,2,adjust start_stop times,,
289,,,,
290,3,noisy ,,
291,,,,
292,,,,
293,,,,
294,3,noisy ,,
295,2,adjust start_stop times,,
296,,,,
297,3,complex ,,
298,,,,
299,2,adjust start_stop times,,
300,2,adjust start_stop times,,
301,,,,
302,3,noisy,,
303,,,,
304,3,noisy ,,
305,,,,
306,,,,
307,3,complex,,
308,2,adjust start_stop times,,
309,,,,
310,,,,
311,,,,
312,3,noisy,,
313,,,,
314,,,,
315,3,,,
316,,,,
317,,,,
318,,,,
319,3,noisy ,,
320,3,noisy ,,
321,3,noisy ,,
322,2,adjust start_stop times,,
323,2,adjust start_stop times,,
324,2,adjust start_stop times,,
325,,,,
326,,,,
327,3,noise,,
328,3,noisy ,,
329,,,,
330,,,,
331,,,,
332,,,,
333,3,noise,,
334,,,,
335,,,,
336,,,,
337,,,,
338,3, noise,,
339,3, noise,,
340,3, noise,,
341,,,,
342,,,,
343,3,noise/complex,,
344,3,noisy,,
345,,,,
346,3,noisy,,
347,2,adjust start_stop times,,
348,,,,
349,,,,
350,,,,
351,,,,
352,,,,
353,,,,
354,,,,
355,3,noisy ,,
356,3,noisy ,,
357,,,,
358,2,adjust start_stop times,,
359,,,,
360,3,,,
361,,,,
362,,,,
363,,,,
364,,,,
365,,,,
366,3,noisy,,
367,,,,
368,3,,,
369,,,,
370,3,noisy ,,
371,,,,
372,3,noisy ,,
373,,,,
374,3,noisy ,,
375,,,,
376,,,,
377,3,,,
378,,,,
379,,,,
380,,,,
381,3,,,
382,,,,
383,,,,
384,,,,
385,,,,
386,,,,
387,3,,,
388,,,,
389,3,,,
390,3,,,
391,3,,,
392,,,,
393,,,,
394,3,,,
395,2,,,
396,3,,,
397,3,,,
398,3,,,
399,3,,,
400,,,,
401,3,,,
402,3,,,
403,,,,
404,,,,
405,,,,
406,,,,
407,,,,
408,,,,
409,,,,
410,3,,,
411,,,,
412,3,,,
413,3,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,,,,
419,,,,
420,2,,,
421,,,,
422,,,,
423,,,,
424,3,,,
425,2,,,
426,,,,
427,3,,,
428,3,,,
429,,,,
430,,,,
431,3,,,
432,,,,
433,3,,,
434,3,,,
435,3,,,
436,3,,,
437,,,,
438,,,,
439,,,,
440,3,,,
441,,,,
442,,,,
443,,,,
444,,,,
445,,,,
446,,,,
447,,,,
448,,,,
449,3,,,
450,,,,
451,,,,
452,3,,,
453,,,,
454,,,,
455,,,,
456,3,,,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,,,,
463,,,,
464,3,,,
465,,,,
466,,,,
467,,,,
468,,,,
469,3,,,
470,3,,,
471,3,,,
472,2,two flares?,,
473,3,,,
474,,,,
475,,,,
476,3,complex,,
477,,,,
478,3,,,
479,3,,,
480,,,,
481,3,,,
482,,,,
483,,,,
484,,,,
485,,,,
486,,,,
487,,,,
488,3,,,
489,,,,
490,3,,,
491,2,,,
492,3,,,
493,,,,
494,3,,,
495,,,,
496,3,,,
497,,,,
498,,,,
499,,,,
500,,,,
501,,,,
502,3,complex?,,
503,,,,
504,3,complex,,
505,3,,,
506,3,,,
507,,,,
508,3,,,
509,3,complex?,,
510,3,,,
511,3,maybe complex?,,
512,,,,
513,3,,,
514,,,,
515,,,,
516,,,,
517,,,,
518,,,,
519,3,,,
520,3,,,
521,,,,
522,3,,,
523,3,,,
524,3,,,
525,3,,,
526,3,,,
527,3,,,
528,3,,,
529,3,,,
530,,,,
531,,,,
532,3,,,
533,3,,,
534,,,,
535,3,,,
536,,,,
537,3,,,
538,2,,,
539,,,,
540,3,,,
541,3,,,
542,3,,,
543,3,,,
544,,,,
545,3,,,
546,2,,,
547,,,,
548,,,,
549,3,,,
550,,,,
551,3,complex,,
552,3,complex,,
553,3,,,
554,,,,
555,3,(near the end of the qrt),,
556,,,,
557,,,,
558,,,,
559,3,,,
560,2,,,
561,,,,
562,3,,,
563,3,2 flares?,,
564,3,,,
565,3,,,
566,3,,,
567,3,,,
568,,,,
569,3,,,
570,3,,,
571,3,,,
572,3,,,
573,3,,,
574,3,,,
575,3,,,
576,,,,
577,,,,
578,,,,
579,2,,,
580,2,,,
581,3,,,
582,,,,
583,,,,
584,3,,,
585,3,,,
586,,,,
587,4,data break,,
588,,,,
589,3,,,
590,,,,
591,3,,,
592,3,,,
593,3,,,
594,3,,,
595,3,,,
596,2,,,
597,,,,
598,2,,,
599,3,,,
600,3,,,
601,3,,,
602,3,,,
603,3,complex?,,
604,3,complex,,
605,,,,
606,3,,,
607,,,,
608,2,,,
609,3,,,
610,2,,,
611,3,complex,,
612,3,,,
613,3,,,
614,3,,,
615,,,,
616,3,,,
617,3,complex?,,
618,3,complex,,
619,3,,,
620,,,,
621,3,,,
622,3,,,
623,,,,
624,3,,,
625,,,,
626,3,,,
627,,,,
628,3,,,
629,,,,
630,3,,,
631,2,,,
632,3,,,
633,3,,,
634,2,,,
635,3,,,
636,,,,
637,,,,
638,4,data break,,
639,,,,
640,3,,,
641,3,,,
642,,,,
643,3,,,
644,,,,
645,3,,,
646,3,,,
647,3,,,
648,3,,,
649,3,,,
650,,,,
651,3,,,
652,3,,,
653,3,,,
654,3,complex,,
655,3,,,
656,3,,,
657,3,complex,,
658,,,,
659,3,,,
660,2,,,
661,3,,,
662,3,,,
663,2,,,
664,,,,
665,3,,,
666,3,,,
667,3,,,
668,3,,,
669,3,,,
670,3,complex,,
671,,,,
672,,,,
673,2,,,
674,3,,,
675,,,,
676,3,,,
677,3,,,
678,2,,,
679,,,,
680,3,,,
681,3,,,
682,,,,
683,,,,
684,,,,
685,3,,,
686,,,,
687,3,,,
688,3,,,
689,3,,,
690,3,complex,,
691,,,,
692,,,,
693,3,,,
694,3,,,
695,,,,
696,,,,
697,3,,,
698,3,ask Jim,,
699,,,,
700,,,,
701,,,,
702,,,,
703,,,,
704,3,,,
705,3,two flares,,
706,3,,,
707,3,,,
708,2,,,
709,3,,,
710,,,,
711,,,,
712,2,,,
713,2,,,
714,,,,
715,,,,
716,,,,
717,,,,
718,,,,
719,,,,
720,,,,
721,3,,,
722,,,,
723,,,,
724,,,,
725,,,,
726,3,,,
727,,,,
728,3,,,
729,3,,,
730,3,complex,,
731,,,,
732,3,complex,,
733,3,,,
734,3,,,
735,,,,
736,,,,
737,,,,
738,3,,,
739,3,,,
740,,,,
741,3,,,
742,,,,
743,,,,
744,3,,,
745,3,,,
746,3,,,
747,3,complex,,
748,,,,
749,3,,,
750,3,,,
751,,,,
752,3,,,
753,3,,,
