Flare #,Type,Notes,"Key:                                     1 = classical                        2 =adjust start/stop times                                   3 = complex
4 = noise"
0,3,,
1,1,,
2,2,,
3,3,,
4,3,,
5,1,ask Jim,
6,1,model doesn't fit,
7,1,maybe complex at tail?,
8,3,,
9,3,,
10,1,maybe complex,
11,1,model doesn't fit,
12,4,,
13,3,plus noise,
14,1,,
15,1,,
16,1,maybe adjust stop time,
17,3,saw tooth feats,
18,3,,
19,3,,
20,3,,
21,1,pre flare dip,
22,2,,
23,1,,
24,1,model doesn't fit,
25,3,,
26,3,,
27,3,,
28,1,,
29,1,,
30,3,,
31,3,saw tooth feats,
32,3,,
33,2,"stop time, model doesn't fit",
34,3,,
35,1,noisy,
36,3,,
37,3,,
38,3,,
39,1,adjust start time,
40,4,model goes off cliff,
41,1,,
42,3,,
43,3,adjust stop time,
44,1,model doesn't fit,
45,1,hill,
46,1,,
47,1,,
48,3,,
49,1,adjust stop time,
50,1,,
51,1,,
52,3,fits secondary in complex event,
53,2,start time ,
54,3,edit times,
55,1,,
56,1,,
57,1,,
58,3,,
59,1,model doesn't fit,
60,1,,
61,2,adjust stop time,
62,3,happens during starspot max,
63,3,,
64,1,,
65,2,adjust start time ,
66,1,,
67,3,,
68,1,,
69,1,,
70,1,maybe small complex structure,
71,3,,
72,3,,
73,2,edit stop time,
74,1,,
75,1,,
76,1,,
77,3,,
78,3,,
79,3,,
80,1,,
81,4,noisy,
82,1,,
83,3,adjust start time,
84,3,,
85,2,adjust start time,
86,3,,
87,3,,
88,3,,
89,2,adjust stop time,
90,1,,
91,1,,
92,1,,
93,1,,
94,1,,
95,3,ask jim ,
96,4,,
97,1,,
98,3,,
99,3,,
100,1,,
101,3,,
102,4,,
103,1,ask jim ,
104,1,noisy,
105,2,adjust start time,
106,3,,
107,1,,
108,3,,
109,3,,
110,4,,
111,3,two flares,
112,3,,
113,2,adjust start time,
114,1,,
115,3,,
116,1,,
117,1,ask Jim,
118,3,,
119,1,small structure at end,
120,1,,
121,3,,
122,3,noisy,
123,4,model doesn't fit,
124,3,,
125,3,,
126,3,,
127,1,model doesn't fit,
128,3,,
129,4,,
130,3,,
131,3,,
132,4,,
133,2,adjust stop time,
134,1,,
135,1,,
136,3,adjust start time,
137,2,adjust start time,
138,1,,
139,1,model doesn't fit,
140,1,model upside down,
141,3,,
142,1,,
143,3,adjust stop time,
144,3,,
145,1,,
146,1,,
147,1,model doesn't fit,
148,1,,
149,1,,
150,3,,
151,1,model doesn't fit,
152,2,adjust start time,
153,1,,
154,1,model doesn't fit,
155,3,,
156,2,adjust both,
157,1,,
158,3,"noisy tail, model doesn't fit",
159,1,,
160,1,,
161,1,,
162,1,,
163,3,,
164,1,,
165,1,,
166,3,,
167,3,,
168,2,adjust start time,
169,3,,
170,3,,
171,1,model doesn't fit,
172,1,,
173,3,,
174,3,,
175,1,model doesn't fit,
176,1,,
177,1,,
178,1,,
179,3,,
180,1,model upside down,
181,1,,
182,1,,
183,4,,
184,3,,
185,1,,
186,4,edit both,
187,1,,
188,3,,
189,3,,
190,4,,
191,1,,
192,3,,
193,3,,
194,3,,
195,1,,
196,3,,
197,3,,
198,3,,
199,1,,
200,3,,
201,2,,
202,3,,
203,3,,
204,1,,
205,1,,
206,3,,
207,3,,
208,1,,
209,3,,
210,3,,
211,3,,
212,3,,
213,3,,
214,1,,
215,4,,
216,1,,
217,3,,
218,3,,
219,3,,
220,2,adjust stop time,
221,3,,
222,4,,
223,1,,
224,1,,
225,3,,
226,3,,
227,2,adjust stop time,
228,3,adjust stop time,
229,1,model doesn't fit,
230,4,,
231,3,,
232,3,,
233,1,adjust start time,
234,1,,
235,4,,
236,3,,
237,3,,
238,3,,
239,3,,
240,1,,
241,3,,
242,3,,
243,1,,
244,3,,
245,3,,
246,3,,
247,4,,
248,1,,
249,3,,
250,3,,
251,3,,
252,3,,
253,1,,
254,1,,
255,2,"adjust both, model doesn't fit",
256,1,,
257,3,,
258,3,,
259,3,,
260,3,physics behind decay?,
261,3,,
262,1,,
263,3,"model doesn't fit, edit times",
264,3,,
265,4,,
266,4,,
267,3,,
268,1,,
269,1,,
270,3,,
271,3,,
272,1,,
273,1,,
274,3,,
275,3,,
276,1,,
277,1,,
278,3,,
279,1,,
280,3,,
281,1,,
282,2,,
283,1,model doesn't fit,
284,3,,
285,2,edit start time,
286,1,,
287,3,,
288,3,,
289,3,,
290,3,,
291,3,,
292,1,,
293,3,,
294,2,edit start time,
295,1,,
296,1,,
297,1,,
298,1,,
299,2,,
300,1,model doesn't fit,
301,3,,
302,3,,
303,3,,
304,4,,
305,1,,
306,3,,
307,1,,
308,3,,
309,1,,
310,3,,
311,3,,
312,3,,
313,1,,
314,3,,
315,1,,
316,1,,
317,2,edit start time,
318,1,,
319,3,,
320,2,edit start time,
321,1,model doesn't fit,
322,4,,
323,3,,
324,1,,
325,1,,
326,3,,
327,1,,
328,3,,
329,2,edit stop time,
330,1,,
331,1,,
332,3,,
333,1,,
334,1,,
335,1,,
336,1,model doesn't fit,
337,3,,
338,2,edit stop time,
339,1,,
340,2,edit stop time,
341,3,,
342,2,edit start time,
343,1,,
344,1,,
345,3,,
346,3,,
347,3,,
348,3,,
349,3,,
350,3,,
351,1,,
352,1,,
353,3,,
354,3,,
355,2,,
356,3,,
357,3,,
358,3,,
359,1,model doesn't fit,
360,3,,
361,3,,
362,1,,
363,3,,
364,3,,
365,1,,
366,1,,
367,3,,
368,3,,
369,1,,
370,1,,
371,3,,
372,3,,
373,3,,
374,1,,
375,1,,
376,1,,
377,1,model doesn't fit,
378,1,flat line,
379,3,,
380,1,,
381,3,,
382,3,,
383,1,flat line,
384,1,,
385,3,,
386,3,,
387,1,model doesn't fit,
388,1,model doesn't fit,
389,3,,
390,3,,
391,1,model doesn't fit,
392,1,,
393,1,,
394,2,,
395,1,flat line,
396,2,,
397,3,,
398,1,,
399,3,,
400,1,,
401,3,,
402,1,,
403,3,,
404,1,,
405,3,,
406,1,,
407,1,model doesn't fit,
408,3,,
409,3,,
410,3,,
411,3,,
412,1,,
413,1,flat line,
414,1,,
415,1,,
416,3,,
417,2,,
418,1,flat line,
419,3,,
420,1,,
421,1,,
422,1,,
423,3,,
424,3,,
425,3,,
426,3,,
427,1,,
428,3,,
429,1,flat line,
430,3,,
431,1,,
432,4,,
433,1,,
434,3,,
435,1,,
436,3,,
437,3,,
438,1,model doesn't fit,
439,1,model doesn't fit,
440,1,flat line,
441,3,,
442,1,,
443,1,,
444,1,,
445,1,,
446,1,model doesn't fit,
447,3,,
448,3,,
449,1,,
450,1,,
451,3,,
452,1,,
453,1,,
454,1,,
455,3,,
456,1,model doesn't fit,
457,3,,
458,1,model doesn't fit,
459,1,,
460,1,,
461,1,,
462,1,,
463,3,,
464,1,,
465,1,model doesn't fit,
466,1,,
467,1,model is backwards,
468,1,"model doesn't fit, great example",
469,1,,
470,3,,
471,3,,
472,1,,
473,1,model doesn't fit,
474,1,,
475,1,,
476,3,,
477,1,,
478,1,,
479,1,,
480,1,model doesn't fit,
481,1,,
482,1,,
483,1,,
484,3,,
485,3,,
486,3,,
487,1,flat line,
488,1,,
489,1,,
490,1,,
491,1,,
492,3,,
493,3,,
494,1,flat line,
495,1,,
496,1,,
497,1,,
498,1,flat line,
499,3,,
500,2,model doesn't fit,
501,3,,
502,3,,
503,1,,
504,3,,
505,3,,
506,2,edit stop time,
507,3,,
508,1,,
509,1,,
510,1,,
511,1,,
512,1,,
513,1,,
514,1,model doesn't fit,
515,1,,
516,1,,
517,1,,
518,3,,
519,1,,
520,1,,
521,1,,
522,3,,
523,1,,
524,3,,
525,3,,
526,1,,
527,1,,
528,3,,
529,3,,
530,1,,
531,1,,
532,1,,
533,1,,
534,1,,
535,3,,
536,1,,
537,1,,
538,1,,
539,1,,
540,3,,
541,1,,
542,1,model doesn't fit,
543,1,,
544,1,,
545,1,,
546,3,,
547,3,,
548,2,,
549,3,,
550,1,flat line,
551,1,,
552,3,,
553,3,,
554,1,,
555,3,,
556,1,,
557,1,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
