,Event_ID,Start_INDX,Stop_INDX,t_peak,t_start,t_stop,t_rise,t_decay,Flux_peak,Equiv_Dur,S/N,CPLX_flg,MLTPK_flg,MLTPK_num,t_MLTPK,L_mltpk,MLTPK_INDX,quies,x,Flare_Duration,Index,Flare_Number,Type,Notes
0,8,1696.0,1707.0,1685.7325952727629,1685.729817460779,1685.7450954266887,0.0027778119838331,0.0125001539258847,0.0073028134632617,3.2129031338115936,1.3283268522444462,1.0,0.0,0.0,0.0,0.0,0.0,11347.69043,;,22.00027090999356,0,0,1,
1,9,1908.0,1941.0,1686.028432240426,1686.0242655226834,1686.0700994171564,0.0041667177424642,0.0416671767304706,0.0674975746350504,52.023511675037135,6.877622542704032,1.0,0.0,0.0,0.0,0.0,0.0,11371.125,;,66.00080804102618,1,1,1,
2,10,2477.0,2488.0,1686.815941809787,1686.8145529040276,1686.82983086598,0.0013889057595406,0.0138890561929657,0.0198465629086039,8.424115337408596,2.646364344476909,1.0,0.0,0.0,0.0,0.0,0.0,11334.62988,;,22.000265211609076,2,2,1,
3,12,3558.0,3578.0,1688.3423488276135,1688.3395710172597,1688.3673491198688,0.0027778103537912,0.0250002922552994,0.043120849075037,15.954549862843612,3.663175177284332,1.0,0.0,0.0,0.0,0.0,0.0,11415.00781,;,40.00046775709052,3,3,1,
4,14,4407.0,4427.0,1689.5451405206868,1689.5423627110308,1689.5701408066552,0.0027778096559814,0.0250002859684173,0.0202227251858564,10.991961709278105,2.820261465113014,1.0,0.0,0.0,0.0,0.0,0.0,11445.7666,;,40.00045769913413,5,5,1,
5,17,4652.0,4664.0,1689.8840332767768,1689.8826443719495,1689.899311228253,0.0013889048273086,0.0152779514762642,0.0296519733500633,11.158620802948464,3.0926873072058623,1.0,0.0,0.0,0.0,0.0,0.0,11342.4082,;,24.00027307714481,7,7,1,
6,19,4940.0,4961.0,1690.2840378138571,1690.2826489092627,1690.3118159057562,0.0013889045944779,0.0277780918991084,0.0215624156244863,13.35393682725804,3.1970007702606176,1.0,0.0,0.0,0.0,0.0,0.0,11336.99316,;,42.00047495076433,8,8,1,
7,20,5338.0,5353.0,1690.8368218188955,1690.8354329142999,1690.8562664815954,0.0013889045958422,0.0194446626996978,0.0195344122268378,14.109143041425236,3.446505175620984,1.0,0.0,0.0,0.0,0.0,0.0,11343.01758,;,30.00033690557757,9,9,1,
8,21,6290.0,6304.0,1692.1743367438266,1692.1729478394643,1692.1923925003023,0.0013889043623294,0.0180557564756327,0.0151162660123153,5.39707749098569,1.9363722664345735,1.0,0.0,0.0,0.0,0.0,0.0,11322.72754,;,28.00031160666549,10,10,1,
9,28,9809.0,9835.0,1698.0605093056874,1698.0591204115688,1698.0966205490183,0.0013888941184632,0.0361112433311064,0.1118687644011023,56.61459239830896,7.23495126474808,1.0,0.0,0.0,0.0,0.0,0.0,11333.77637,;,54.00019792738021,12,12,1,
